,genres,href,id,images,name,popularity,type,uri,external_urls.spotify,followers.href,followers.total
0,"['chillwave', 'downtempo', 'electronica', 'indietronica', 'intelligent dance music']",https://api.spotify.com/v1/artists/5oOhM2DFWab8XhSdQiITry,5oOhM2DFWab8XhSdQiITry,"[{'height': 640, 'url': 'https://i.scdn.co/image/460f8dd62e2cfb4df17e05bf97471a596a28eeda', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/80ba51f8c16442d839a0ed99d6c3e40730fe8c81', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/cc3f07038fe794f40523bc19fedd181ff48e2f78', 'width': 160}]",Tycho,66,artist,spotify:artist:5oOhM2DFWab8XhSdQiITry,https://open.spotify.com/artist/5oOhM2DFWab8XhSdQiITry,,563607
1,"['chillwave', 'ninja']",https://api.spotify.com/v1/artists/21mKp7DqtSNHhCAU2ugvUw,21mKp7DqtSNHhCAU2ugvUw,"[{'height': 640, 'url': 'https://i.scdn.co/image/2d45e04208b55f434f31c6a46ee33e1693d23a9b', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/881192d40935946e36d534e24a3df821579c5b83', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/356807bedf0d04859ace330d8e6bcf0c52c40cce', 'width': 160}]",ODESZA,76,artist,spotify:artist:21mKp7DqtSNHhCAU2ugvUw,https://open.spotify.com/artist/21mKp7DqtSNHhCAU2ugvUw,,1134956
2,['chillstep'],https://api.spotify.com/v1/artists/6HL3uLHjsLddvoSXVGDfbQ,6HL3uLHjsLddvoSXVGDfbQ,"[{'height': 640, 'url': 'https://i.scdn.co/image/c1d90e6a1cbde18e2e8f4944e41ed7f2258313d2', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/2027e414c594fe0ec624b42510eeea2b37ef23f2', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/6c102bc7ef7c1a969a8e5d9348f5bfe4f71ee6a3', 'width': 160}]",Sizzle Bird,45,artist,spotify:artist:6HL3uLHjsLddvoSXVGDfbQ,https://open.spotify.com/artist/6HL3uLHjsLddvoSXVGDfbQ,,14354
3,"['electropop', 'indie folk', 'indie pop', 'indie rock', 'la indie', 'modern rock', 'rock', 'shimmer pop', 'stomp and holler', 'vapor soul']",https://api.spotify.com/v1/artists/75dQReiBOHN37fQgWQrIAJ,75dQReiBOHN37fQgWQrIAJ,"[{'height': 640, 'url': 'https://i.scdn.co/image/7d90d2214f3b3a47ed43fbedf4d43d945522b8cc', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/f7bb410d69d76d1440db1538675ba4550d392cb9', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/7de5f4682d779d2ec2734384d7874a20e11469aa', 'width': 160}]",Local Natives,67,artist,spotify:artist:75dQReiBOHN37fQgWQrIAJ,https://open.spotify.com/artist/75dQReiBOHN37fQgWQrIAJ,,501839
4,"['conscious hip hop', 'hip hop', 'north carolina hip hop', 'pop rap', 'rap']",https://api.spotify.com/v1/artists/6l3HvQ5sa6mXTsMTB19rO5,6l3HvQ5sa6mXTsMTB19rO5,"[{'height': 640, 'url': 'https://i.scdn.co/image/1e9eeefb2c94579150fc37916e8319b975ec8a52', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/e021db512f24f1b9aafad580db7408863346e9cf', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/35c726dfde2a3d5545a8b6cbe9cfeaaea3666764', 'width': 160}]",J. Cole,89,artist,spotify:artist:6l3HvQ5sa6mXTsMTB19rO5,https://open.spotify.com/artist/6l3HvQ5sa6mXTsMTB19rO5,,11141303
5,"['downtempo', 'electronica', 'livetronica', 'nu jazz', 'trip hop']",https://api.spotify.com/v1/artists/6HCnsY0Rxi3cg53xreoAIm,6HCnsY0Rxi3cg53xreoAIm,"[{'height': 640, 'url': 'https://i.scdn.co/image/462786c3ee42d34b975c994e4bbbf0b9f3199a02', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ff84773b8068b2c080c68bc6125c5a91d1fed0d1', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/6ec0143dcd6643094a60bed351514ba06f2afa96', 'width': 160}]",Emancipator,63,artist,spotify:artist:6HCnsY0Rxi3cg53xreoAIm,https://open.spotify.com/artist/6HCnsY0Rxi3cg53xreoAIm,,295411
6,"['australian indie folk', 'folk-pop', 'indie anthem-folk', 'indie folk', 'stomp and holler']",https://api.spotify.com/v1/artists/6cSxzHrQgGc4I4Ck5Gewej,6cSxzHrQgGc4I4Ck5Gewej,"[{'height': 640, 'url': 'https://i.scdn.co/image/2c63a0c0758ce371a20d92ca2c6b94cefb4d683c', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/092ee83cbcd5b92dff418b9eb195afad48de519d', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/a8d66ea0bcee02e7f97a98fd7fb9fa3eb66ced1b', 'width': 160}]",Sons Of The East,57,artist,spotify:artist:6cSxzHrQgGc4I4Ck5Gewej,https://open.spotify.com/artist/6cSxzHrQgGc4I4Ck5Gewej,,92633
7,"['vapor soul', 'vapor twitch']",https://api.spotify.com/v1/artists/5ar4zFgUQG1RsH8nhmjOeM,5ar4zFgUQG1RsH8nhmjOeM,"[{'height': 640, 'url': 'https://i.scdn.co/image/a5e299c2c5e48bd8e907a740138b63003b28c257', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/cbd5b167dbb58bf68288d10515460969d2c1ba4c', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/9ee625c6ba4c81b3c356fc8e584d93776ca6e254', 'width': 160}]",Robotaki,54,artist,spotify:artist:5ar4zFgUQG1RsH8nhmjOeM,https://open.spotify.com/artist/5ar4zFgUQG1RsH8nhmjOeM,,36258
8,['aussietronica'],https://api.spotify.com/v1/artists/33WEbJHirq23bohapH3pI9,33WEbJHirq23bohapH3pI9,"[{'height': 640, 'url': 'https://i.scdn.co/image/57102d4c466b6a2580e15d7cf8f7e555f1fdd03f', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/e25a5e2afb21122610d8165a647b5de0f2acc243', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/331e0b58bb00aebf99153f16a3229bfa8d2d263b', 'width': 160}]",Thrupence,45,artist,spotify:artist:33WEbJHirq23bohapH3pI9,https://open.spotify.com/artist/33WEbJHirq23bohapH3pI9,,23611
9,"['french shoegaze', 'metropopolis', 'neo-synthpop']",https://api.spotify.com/v1/artists/63MQldklfxkjYDoUE4Tppz,63MQldklfxkjYDoUE4Tppz,"[{'height': 640, 'url': 'https://i.scdn.co/image/ad6186e7279ea9609926e92c05688cf89312ae4e', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/cb6f1c1fa5fa6351cd082f5469090dd635b64ae2', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/415d9c9ed43df95f53f8ca48e0f69b24cfc5dca2', 'width': 160}]",M83,75,artist,spotify:artist:63MQldklfxkjYDoUE4Tppz,https://open.spotify.com/artist/63MQldklfxkjYDoUE4Tppz,,1726426
