,artists,name,popularity,id,duration_ms,album.name,album.release_date
5,America,A Horse with No Name,77,54eZmuggBFJbV7k248bTTt,252239,America,1972
46,Third Eye Blind,Semi-Charmed Life,74,42et6fnHCw1HIPSrdPprMl,268360,Third Eye Blind,1997-04-08
24,Glass Animals,Gooey,71,1gk3FhAV07q9Jg77UxnVjX,289306,ZABA,2014-06-03
3,J. Cole,Love Yourz,70,4gkl7QbQvBd3TM9PhlWFkI,211680,2014 Forest Hills Drive,2014-12-09
4,Led Zeppelin,Ramble On - 1990 Remaster,70,3MODES4TNtygekLl146Dxd,263333,Led Zeppelin II (1994 Remaster),1969-10-22
18,America,Ventura Highway,70,4IU1RL4BKvFyXtbTwaHAvW,211386,Homecoming,1972-01-01
39,Kacey Musgraves,Slow Burn,69,6ET9kf9riLETWs9lePUEAI,246133,Golden Hour,2018-03-30
13,ODESZA,Say My Name (feat. Zyra),66,1LeItUMezKA1HdCHxYICed,262956,In Return,2014-09-08
41,Local Natives,Dark Days,63,7LZN7FkxHZk6maiN6NdI2i,180413,Sunlit Youth,2016-09-09
42,Glass Animals,Black Mambo,61,63OC8cNa4ZnFB3bbvbWCOc,248920,ZABA,2014-06-03
6,Tycho,Awake,60,2qC1sUo8xxRRqYsaYEdDuZ,283636,Awake,2014-03-18
10,Ratatat,Loud Pipes,58,5ZrrXIYTvjXPKVQMjqaumR,226533,Classics,2006-08-22
30,Jordan Mackampa,Yours to Keep,58,0ljxKa4x3ahmDeQOrLCjJr,202426,Physics EP,2016-09-30
25,Duke Dumont,I Got U,58,69gQgkobVW8bWjoCjBYQUd,285596,EP1,2014-01-01
1,ODESZA,All We Need (feat. Shy Girls),56,5jnp8E61wcoF6qIEtDHQnJ,211200,In Return,2014-09-08
44,Tycho,A Walk,56,6koWevx9MqN6efQ6qreIbm,316919,Dive,2011-10-04
37,Chet Faker,No Diggity,56,2xD7RvKFJl52xyds3wQFXQ,221533,Thinking In Textures,2012-03-01
33,Local Natives,Wide Eyes,55,44DnIGEvTlhDkGv3xLSDcp,266053,Gorilla Manor,2010-02-16
47,Chet Faker,No Diggity,55,1xCkZYGKDv7ELjSlIKedOy,225000,Digging the Blogosphere,2012-03-09
23,Sons Of The East,Come Away,54,1tpSOLApZSgDaFqYHIeQl9,260693,Sons Of The East,2013-08-02
8,Nosaj Thing,Aquarium,53,4ZOv9mx6Lz7RRaBFi5UNaE,184000,Views/Octopus EP,2006-01-01
15,Klingande,Jubel,52,2mpsKeLCbdXkwEpZRNi4XD,283638,Jubel,2014-03-11
11,ODESZA,My Friends Never Die,52,2eMh8ISgK9dylE51SJUixA,171500,My Friends Never Die,2013-09-17
43,Jai Paul,BTSTU - Edit,51,2NRRrr8ylDK38KD3Ffbw4K,210000,BTSTU (Edit),2011-04-21
40,Galantis,Firebird,50,6fKEplI9iN0JMHsRGQESaT,248280,Pharmacy,2015-06-05
2,Tycho,Daydream,48,1zTmKEtaxIqi2ByGBLmI3s,334459,Dive,2011-10-04
17,Sons Of The East,California,46,46BuJdwxV43a6qLrICP27l,222186,Sons Of The East,2013-08-02
38,Ratatat,Lex,45,70HxZbVnoyrfQ4dIWgcYMm,269746,Classics,2006-08-22
36,Sons Of The East,Into The Sun - Radio Edit,44,2mP19NOAs1eNi9o6K8ngwt,273306,Into The Sun,2015-10-09
49,Seinabo Sey,Younger - Kygo Remix,43,6HaA6tCGwWJBdMkDFqfHsH,351573,Younger,2014-01-01
34,Sons Of The East,Hold On,42,3p82oFueSOlMnxEoex450n,230616,Hold On,2013-03-01
29,Møme,Mirage,41,1SQQI3opeV0kr71tf0224D,182453,Panorama,2016-11-25
48,Porter Robinson,Divinity - filous Remix,41,5EEb0Vm8xUKjpwH2jlftOl,247200,Divinity (filous Remix),2014-12-19
31,Tourist,Placid Acid,39,3TmkViBJdzJS9XAEyawzh7,285744,Tourist,2012-03-12
45,O R I O N,Rain,37,0GSeXml9y7IQfdvqrj00pn,180714,Rain,2017-10-16
0,Thrupence,Thought 8,36,4uarXUhPpUbGUtpqCGePKS,204000,Thoughts,2012-11-15
7,Thrupence,Folds,35,3pa9ZRg9V6fSxP1bEfw5GF,194443,Voyages,2012-03-05
26,Moullinex,Dream On,30,01Ak1rLiH9FZdOpmrX010T,218918,Dream On,2018-05-25
20,Robotaki,Restless,30,0OdwPYDvQpsslYoQqEoECm,232978,Science,2018-04-13
22,filous,Let It Snow,28,5gadBk725PMbMXIU5uqojC,207125,Let It Snow,2016-12-09
12,Tycho,Hours - Teen Daze Remix,22,1kYSE3xscDh2mvGMy3fs8j,332000,Dive (Radio Edit),2011-11-01
14,Tycho,See - Beacon Remix,15,1Zk0CDEkALkL9TuM6rfDPq,234296,See Remix,2014-09-16
27,Audio Adam,Don't Ya Mama Know,7,1BcXFT2uWjxfcushE73i6p,178951,Don't Ya Mama Know,2016-10-14
21,Leo Stannard,Please Don't,0,3nx21g8SsPqoAfHxREV7wH,203405,Notions EP,2014-10-13
35,Washed Out,Feel It All Around,0,6IE47jpPeatF2Iay7GZtEc,192080,Life Of Leisure,2009-09-08
19,Caribou,Crayon,0,6erlcQQB6qnObnSrpge1cl,160306,Up In Flames (Special Edition),2003-09-29
16,Haring,Canopée,0,67C8rHLtd6tXZJJz7qfGba,275887,Nowadays,2014-09-15
28,Sam Feldt,Hot Skin - Radio Edit,0,5OppKZFuGrKMVpWRHzp4jM,209385,Hot Skin,2014-10-27
9,Summer Heart,Thinkin of U,0,3W7JAcr23RSoFRKxAGq1BV,195541,Thinkin of U - EP,2015-04-06
32,Sizzle Bird,Stepping Stones,0,14Akoc86UjFh1sAwOuNRGH,206811,Vol. 1,2014-09-11
