,genres,href,id,images,name,popularity,type,uri,external_urls.spotify,followers.href,followers.total
0,"['alternative r&b', 'indie soul']",https://api.spotify.com/v1/artists/3ycxRkcZ67ALN3GQJ57Vig,3ycxRkcZ67ALN3GQJ57Vig,"[{'height': 640, 'url': 'https://i.scdn.co/image/a6c178d534df105c8697955ad7a398858d5bbbaa', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/389ea0061a1935ee9c3b3d0f4df55732247a3ec6', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/650e50931f30d9394648a5a75d6e925dfea9c10e', 'width': 160}]",Masego,74,artist,spotify:artist:3ycxRkcZ67ALN3GQJ57Vig,https://open.spotify.com/artist/3ycxRkcZ67ALN3GQJ57Vig,,609448
1,"['chamber pop', 'freak folk', 'indie folk', 'indie pop', 'indie rock', 'modern rock', 'seattle indie', 'stomp and holler']",https://api.spotify.com/v1/artists/4EVpmkEwrLYEg6jIsiPMIb,4EVpmkEwrLYEg6jIsiPMIb,"[{'height': 640, 'url': 'https://i.scdn.co/image/955f9aedff448f3987bc17c342bd91311de9d0b2', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/44b5309c164bb28be7acd2fbcff43d1ff9c9fecb', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/f7f698db0d9b139ab516ee489381ccb6b1da8dfc', 'width': 160}]",Fleet Foxes,67,artist,spotify:artist:4EVpmkEwrLYEg6jIsiPMIb,https://open.spotify.com/artist/4EVpmkEwrLYEg6jIsiPMIb,,977965
2,"['alternative r&b', 'hip hop', 'lgbtq+ hip hop', 'neo soul', 'pop']",https://api.spotify.com/v1/artists/2h93pZq0e7k5yf4dywlkpM,2h93pZq0e7k5yf4dywlkpM,"[{'height': 640, 'url': 'https://i.scdn.co/image/7db34c8aace6feb91f38601bb75e6b3301b4657a', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/0cc22250c0b18183e5c62f240a5756ec5226dee1', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/e42028e7fe5a7ba790b5b4e7b096b06bf3319443', 'width': 160}]",Frank Ocean,87,artist,spotify:artist:2h93pZq0e7k5yf4dywlkpM,https://open.spotify.com/artist/2h93pZq0e7k5yf4dywlkpM,,5925026
3,"['gauze pop', 'progressive house', 'tropical house']",https://api.spotify.com/v1/artists/27gtK7m9vYwCyJ04zz0kIb,27gtK7m9vYwCyJ04zz0kIb,"[{'height': 640, 'url': 'https://i.scdn.co/image/1d0cd466696e399b43fb5013d625f3b63dbe8c3f', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/671961443fd9dc114989382fecc81a1d7a2066f0', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/031a95a6e52d8182b687f38cac5b6c8f87a28995', 'width': 160}]",Lane 8,69,artist,spotify:artist:27gtK7m9vYwCyJ04zz0kIb,https://open.spotify.com/artist/27gtK7m9vYwCyJ04zz0kIb,,185372
4,"['funk', 'neo-psychedelic', 'soul']",https://api.spotify.com/v1/artists/2mVVjNmdjXZZDvhgQWiakk,2mVVjNmdjXZZDvhgQWiakk,"[{'height': 640, 'url': 'https://i.scdn.co/image/865c453789287d6d52e59d84d8563c8c2c9d2efe', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/4753357726b7747f94a410bab9756dcb6e4aa2a2', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/6cda3715ceb522cd4d55f8b4d101d6dec0d37903', 'width': 160}]",Khruangbin,77,artist,spotify:artist:2mVVjNmdjXZZDvhgQWiakk,https://open.spotify.com/artist/2mVVjNmdjXZZDvhgQWiakk,,626691
5,"['electropop', 'indie folk', 'indie pop', 'indie rock', 'la indie', 'modern rock', 'rock', 'shimmer pop', 'stomp and holler', 'vapor soul']",https://api.spotify.com/v1/artists/75dQReiBOHN37fQgWQrIAJ,75dQReiBOHN37fQgWQrIAJ,"[{'height': 640, 'url': 'https://i.scdn.co/image/7d90d2214f3b3a47ed43fbedf4d43d945522b8cc', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/f7bb410d69d76d1440db1538675ba4550d392cb9', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/7de5f4682d779d2ec2734384d7874a20e11469aa', 'width': 160}]",Local Natives,67,artist,spotify:artist:75dQReiBOHN37fQgWQrIAJ,https://open.spotify.com/artist/75dQReiBOHN37fQgWQrIAJ,,501839
6,['chillhop'],https://api.spotify.com/v1/artists/6vXJ4kIg2HlqsSfX3S1RHV,6vXJ4kIg2HlqsSfX3S1RHV,"[{'height': 640, 'url': 'https://i.scdn.co/image/97d9c0f5cc8b7e2397cecd22734b0de327239c1a', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/56bbca3eeee840cbb2757badd173a45841b49e69', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/2b146e8dbbb4e328281423999e04db661edad7ff', 'width': 160}]",Mtbrd,47,artist,spotify:artist:6vXJ4kIg2HlqsSfX3S1RHV,https://open.spotify.com/artist/6vXJ4kIg2HlqsSfX3S1RHV,,12958
7,"['vapor soul', 'vapor twitch']",https://api.spotify.com/v1/artists/5ar4zFgUQG1RsH8nhmjOeM,5ar4zFgUQG1RsH8nhmjOeM,"[{'height': 640, 'url': 'https://i.scdn.co/image/a5e299c2c5e48bd8e907a740138b63003b28c257', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/cbd5b167dbb58bf68288d10515460969d2c1ba4c', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/9ee625c6ba4c81b3c356fc8e584d93776ca6e254', 'width': 160}]",Robotaki,54,artist,spotify:artist:5ar4zFgUQG1RsH8nhmjOeM,https://open.spotify.com/artist/5ar4zFgUQG1RsH8nhmjOeM,,36258
8,"['chillwave', 'downtempo', 'electronica', 'indietronica', 'intelligent dance music']",https://api.spotify.com/v1/artists/5oOhM2DFWab8XhSdQiITry,5oOhM2DFWab8XhSdQiITry,"[{'height': 640, 'url': 'https://i.scdn.co/image/460f8dd62e2cfb4df17e05bf97471a596a28eeda', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/80ba51f8c16442d839a0ed99d6c3e40730fe8c81', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/cc3f07038fe794f40523bc19fedd181ff48e2f78', 'width': 160}]",Tycho,66,artist,spotify:artist:5oOhM2DFWab8XhSdQiITry,https://open.spotify.com/artist/5oOhM2DFWab8XhSdQiITry,,563607
9,"['deep house', 'deep tropical house', 'indie poptimism', 'new french touch', 'tropical house', 'vapor soul']",https://api.spotify.com/v1/artists/7MlotYZhHjOlXcvmwrITj8,7MlotYZhHjOlXcvmwrITj8,"[{'height': 640, 'url': 'https://i.scdn.co/image/ee9f4125756d2c0c0e92c0c228316d33c74ebb79', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/4d3598b9bda59ebd086504cb4a3fb22a34371ea4', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/df5315b9434551e0cd708046ca28a5d68206f191', 'width': 160}]",Tep No,63,artist,spotify:artist:7MlotYZhHjOlXcvmwrITj8,https://open.spotify.com/artist/7MlotYZhHjOlXcvmwrITj8,,69313
