,artists,name,popularity,id,duration_ms,album.name,album.release_date
22,Alec Benjamin,Let Me Down Slowly,84,2qxmye6gAegTMjLKEBoR3d,169353,Narrated For You,2018-11-16
9,J. Cole,Snow On Tha Bluff,80,1oOEkBNp4zWnkD7nWjJdog,235480,Snow On Tha Bluff,2020-06-16
33,Frank Ocean,Nights,78,7eqoqGkKwgOaWNNHx90uEZ,307151,Blonde,2016-08-20
21,Masego,Tadow,77,51rPRW8NjxZoWPPjnRGzHw,301893,Lady Lady,2018-09-07
1,Frank Ocean,Pink + White,77,3xKsf9qdS1CyvXSMEid6g8,184516,Blonde,2016-08-20
32,Frank Ocean,Lost,73,3GZD6HmiNUhxXYf8Gch723,234093,channel ORANGE,2012-07-10
11,Flume,The Difference,72,4nlvKIIetOWGIMyhjQXgOZ,139662,The Difference,2020-03-11
3,Khruangbin,Texas Sun,71,3k5oLgungD1dSOGLqQdIQw,252811,Texas Sun,2019-12-03
24,BRONSON,HEART ATTACK (feat. lau.ra),68,3xrSAFB6cXBHwLylbCP4sr,209600,HEART ATTACK / VAULTS,2020-04-28
35,Louis The Child,Free (with Drew Love),68,64BKKgWdKdmKlQDzRfHW3C,222252,Free (with Drew Love),2019-11-06
10,Disclosure,Tondo,68,23PIMIlFx1FeiCmmIf1RgZ,329280,Ecstasy,2020-02-28
42,Dreamville,Sacrifices (with EARTHGANG & J. Cole feat. Smino & Saba),67,7wTA0NKIm6T7nP2kaymU2a,382306,Revenge Of The Dreamers III,2019-07-05
14,Masego,Queen Tings,63,5tkR9JkBj3Ueeo8W4k8IZD,188053,Lady Lady,2018-09-07
17,Masego,Sunday Vibes,62,3l75jB2gKi4VpgklWIbTOz,226168,The Pink Polo EP,2016-04-05
26,Fleet Foxes,Mykonos,62,4iaGeV4WFvP2ynbqCIyTpS,275306,First Collection 2006-2009,2018-11-09
28,Masego,King's Rant,61,0BPlV0Mu5rExjWcq9MxUaN,237200,King's Rant,2020-03-16
2,Masego,Veg Out (Wasting Thyme),61,2eTVGfAenHUbZ6VDC3C5Sq,196955,Veg Out (Wasting Thyme),2020-04-21
36,Leon Bridges,Smooth Sailin',60,3JbqwFY5q0ORO3siv5zL3A,183333,Coming Home,2015-06-15
45,Disclosure,Expressing What Matters,60,3FeVszrXFJCEcmbYWBZtRQ,263213,Ecstasy,2020-02-28
8,Masego,Lavish Lullaby,58,4dulFGnSzdNW3iNdxxzgy7,197360,Lady Lady,2018-09-07
27,Masego,Flight 99,58,5z2XleKRbvbiytGucM5v2D,167142,Flight 99,2019-11-15
4,Fleet Foxes,Blue Ridge Mountains,58,03CMUlyOZzrNXJnb8Vzm4l,265773,Fleet Foxes,2008-06-03
6,Tep No,"Breathe, Be Happy",58,2fZlFi5a86CFPT0Xd96ns5,159699,"Breathe, Be Happy",2020-01-31
7,NoMBe,Paint California,55,2ZlgqiomIrjvkuWFDSVOLY,207133,Paint California,2019-12-04
38,Point Point,F+L,50,6tXYVzmdR7l7yEXY11b2Hq,300000,F+L,2017-07-28
49,Darondo,Didn't I,50,3xBGFVU2b2PV556Q3ebsQH,209186,Let My People Go,2005-01-24
48,yuzu blur,Home Soon,49,0plIIWDys4UBGmura01RpY,144000,Home Soon,2018-06-20
19,Toro y Moi,New House,47,40YmyUvb5AmaAWXpXTj7VD,150746,Outer Peace,2019-01-18
39,Lane 8,Roll Call,47,029Owq7xqUHmuuN26ieMKE,275409,Roll Call,2020-05-07
