,genres,href,id,images,name,popularity,type,uri,external_urls.spotify,followers.href,followers.total
0,"['chamber pop', 'freak folk', 'indie folk', 'indie pop', 'indie rock', 'modern rock', 'seattle indie', 'stomp and holler']",https://api.spotify.com/v1/artists/4EVpmkEwrLYEg6jIsiPMIb,4EVpmkEwrLYEg6jIsiPMIb,"[{'height': 640, 'url': 'https://i.scdn.co/image/955f9aedff448f3987bc17c342bd91311de9d0b2', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/44b5309c164bb28be7acd2fbcff43d1ff9c9fecb', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/f7f698db0d9b139ab516ee489381ccb6b1da8dfc', 'width': 160}]",Fleet Foxes,67,artist,spotify:artist:4EVpmkEwrLYEg6jIsiPMIb,https://open.spotify.com/artist/4EVpmkEwrLYEg6jIsiPMIb,,977965
1,['chillhop'],https://api.spotify.com/v1/artists/6vXJ4kIg2HlqsSfX3S1RHV,6vXJ4kIg2HlqsSfX3S1RHV,"[{'height': 640, 'url': 'https://i.scdn.co/image/97d9c0f5cc8b7e2397cecd22734b0de327239c1a', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/56bbca3eeee840cbb2757badd173a45841b49e69', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/2b146e8dbbb4e328281423999e04db661edad7ff', 'width': 160}]",Mtbrd,47,artist,spotify:artist:6vXJ4kIg2HlqsSfX3S1RHV,https://open.spotify.com/artist/6vXJ4kIg2HlqsSfX3S1RHV,,12958
2,"['modern blues', 'soul']",https://api.spotify.com/v1/artists/3qnGvpP8Yth1AqSBMqON5x,3qnGvpP8Yth1AqSBMqON5x,"[{'height': 640, 'url': 'https://i.scdn.co/image/2ef080e352a66846b67fc5c57701e33d4942eae2', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/cda9131eb6fd9b0edfae8f750610c120d02b011b', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/c05f19be6a1bbf685dafeedb9e40685cb0aa3fc0', 'width': 160}]",Leon Bridges,78,artist,spotify:artist:3qnGvpP8Yth1AqSBMqON5x,https://open.spotify.com/artist/3qnGvpP8Yth1AqSBMqON5x,,1024594
3,"['indie folk', 'indie pop', 'indie rock', 'modern rock', 'stomp and holler']",https://api.spotify.com/v1/artists/0OdUWJ0sBjDrqHygGUXeCF,0OdUWJ0sBjDrqHygGUXeCF,"[{'height': 640, 'url': 'https://i.scdn.co/image/0f9a5013134de288af7d49a962417f4200539b47', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/8ae35be1043f330173de198c35a49161337e829c', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/602dd7b3a2ee3f3fd86c6c4f50ab9b5a82e23c59', 'width': 160}]",Band of Horses,65,artist,spotify:artist:0OdUWJ0sBjDrqHygGUXeCF,https://open.spotify.com/artist/0OdUWJ0sBjDrqHygGUXeCF,,807466
4,"['edm', 'electropop', 'indie poptimism', 'pop', 'tropical house']",https://api.spotify.com/v1/artists/7wg1qvie3KqDNQbAkTdbX0,7wg1qvie3KqDNQbAkTdbX0,"[{'height': 640, 'url': 'https://i.scdn.co/image/4999bba728b08bce50c2e2caffa51c5827e1a70c', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/cfc3d9d527fded6b0703611002470192aaeb4d7c', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/29553a6d021ed41ff7d25f3dfcb045d1dd72c225', 'width': 160}]",Louis The Child,76,artist,spotify:artist:7wg1qvie3KqDNQbAkTdbX0,https://open.spotify.com/artist/7wg1qvie3KqDNQbAkTdbX0,,363521
5,"['alternative r&b', 'indie soul']",https://api.spotify.com/v1/artists/3ycxRkcZ67ALN3GQJ57Vig,3ycxRkcZ67ALN3GQJ57Vig,"[{'height': 640, 'url': 'https://i.scdn.co/image/a6c178d534df105c8697955ad7a398858d5bbbaa', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/389ea0061a1935ee9c3b3d0f4df55732247a3ec6', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/650e50931f30d9394648a5a75d6e925dfea9c10e', 'width': 160}]",Masego,74,artist,spotify:artist:3ycxRkcZ67ALN3GQJ57Vig,https://open.spotify.com/artist/3ycxRkcZ67ALN3GQJ57Vig,,609448
6,"['alternative r&b', 'hip hop', 'lgbtq+ hip hop', 'neo soul', 'pop']",https://api.spotify.com/v1/artists/2h93pZq0e7k5yf4dywlkpM,2h93pZq0e7k5yf4dywlkpM,"[{'height': 640, 'url': 'https://i.scdn.co/image/7db34c8aace6feb91f38601bb75e6b3301b4657a', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/0cc22250c0b18183e5c62f240a5756ec5226dee1', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/e42028e7fe5a7ba790b5b4e7b096b06bf3319443', 'width': 160}]",Frank Ocean,87,artist,spotify:artist:2h93pZq0e7k5yf4dywlkpM,https://open.spotify.com/artist/2h93pZq0e7k5yf4dywlkpM,,5925026
7,"['conscious hip hop', 'hip hop', 'north carolina hip hop', 'pop rap', 'rap']",https://api.spotify.com/v1/artists/6l3HvQ5sa6mXTsMTB19rO5,6l3HvQ5sa6mXTsMTB19rO5,"[{'height': 640, 'url': 'https://i.scdn.co/image/1e9eeefb2c94579150fc37916e8319b975ec8a52', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/e021db512f24f1b9aafad580db7408863346e9cf', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/35c726dfde2a3d5545a8b6cbe9cfeaaea3666764', 'width': 160}]",J. Cole,89,artist,spotify:artist:6l3HvQ5sa6mXTsMTB19rO5,https://open.spotify.com/artist/6l3HvQ5sa6mXTsMTB19rO5,,11141303
8,"['indie garage rock', 'neo-psychedelic']",https://api.spotify.com/v1/artists/66riSKDVOc3vPkeyju0q0o,66riSKDVOc3vPkeyju0q0o,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b2730531153fccbbc988b6e4f38e', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/ab67616d00001e020531153fccbbc988b6e4f38e', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/ab67616d000048510531153fccbbc988b6e4f38e', 'width': 64}]",Moses Gunn Collective,49,artist,spotify:artist:66riSKDVOc3vPkeyju0q0o,https://open.spotify.com/artist/66riSKDVOc3vPkeyju0q0o,,41816
9,"['deep house', 'deep tropical house', 'indie poptimism', 'new french touch', 'tropical house', 'vapor soul']",https://api.spotify.com/v1/artists/7MlotYZhHjOlXcvmwrITj8,7MlotYZhHjOlXcvmwrITj8,"[{'height': 640, 'url': 'https://i.scdn.co/image/ee9f4125756d2c0c0e92c0c228316d33c74ebb79', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/4d3598b9bda59ebd086504cb4a3fb22a34371ea4', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/df5315b9434551e0cd708046ca28a5d68206f191', 'width': 160}]",Tep No,63,artist,spotify:artist:7MlotYZhHjOlXcvmwrITj8,https://open.spotify.com/artist/7MlotYZhHjOlXcvmwrITj8,,69313
