,artists,name,popularity,id,duration_ms,album.name,album.release_date
2,J. Cole,Snow On Tha Bluff,80,1oOEkBNp4zWnkD7nWjJdog,235480,Snow On Tha Bluff,2020-06-16
31,Frank Ocean,Nights,78,7eqoqGkKwgOaWNNHx90uEZ,307151,Blonde,2016-08-20
1,Khruangbin,Texas Sun,71,3k5oLgungD1dSOGLqQdIQw,252811,Texas Sun,2019-12-03
24,Leon Bridges,Inside Friend (feat. John Mayer),69,4ehkZtzPTbjsRULRfQSWYu,175432,Inside Friend (feat. John Mayer),2020-04-10
5,Dreamville,Sacrifices (with EARTHGANG & J. Cole feat. Smino & Saba),67,7wTA0NKIm6T7nP2kaymU2a,382306,Revenge Of The Dreamers III,2019-07-05
26,Leon Bridges,Coming Home,67,5EA06TsQmqmQXZiEhr1AaM,206386,Coming Home,2015-06-15
8,Fleet Foxes,"If You Need To, Keep Time on Me",64,7d0XkI4iJ32nxeFAHFXbLQ,210506,Crack-Up,2017-06-16
18,Masego,Queen Tings,63,5tkR9JkBj3Ueeo8W4k8IZD,188053,Lady Lady,2018-09-07
15,Leon Bridges,Forgive You,62,1sfTdlWfcFdI7NfmcfZPii,221560,Good Thing,2018-05-04
3,Fleet Foxes,Mykonos,62,4iaGeV4WFvP2ynbqCIyTpS,275306,First Collection 2006-2009,2018-11-09
47,Masego,Sunday Vibes,62,3l75jB2gKi4VpgklWIbTOz,226168,The Pink Polo EP,2016-04-05
16,Masego,Veg Out (Wasting Thyme),61,2eTVGfAenHUbZ6VDC3C5Sq,196955,Veg Out (Wasting Thyme),2020-04-21
4,Leon Bridges,Smooth Sailin',60,3JbqwFY5q0ORO3siv5zL3A,183333,Coming Home,2015-06-15
48,Leon Bridges,Shy,60,407qAIie8sIEgquKD1AAd2,194493,Good Thing,2018-05-04
40,Frank Ocean,Pretty Sweet,60,17yrCsl1Ai6CZLBmGj6d6p,158478,Blonde,2016-08-20
46,Leon Bridges,Better Man,59,3kguMbJma0qhOLniGsFlKq,140133,Coming Home,2015-06-15
27,BRONSON,DAWN (feat. Totally Enormous Extinct Dinosaurs) - Edit,58,5qJIMQfz9gAsAqDzU3ygpN,271871,DAWN,2020-06-30
0,Fleet Foxes,Blue Ridge Mountains,58,03CMUlyOZzrNXJnb8Vzm4l,265773,Fleet Foxes,2008-06-03
25,Louis The Child,Little Things (with Quinn XCII & Chelsea Cutler),58,52681Ivj8kgCi90Lu8B9fl,197453,Here For Now,2020-06-26
9,Moses Gunn Collective,Shalala,58,0Bl1Gt8R9kjz7JO7SYAuhe,228015,Mercy Mountain,2015-08-07
12,Fleet Foxes,Ragged Wood,57,0DrPfPbgV3TxsxgqEjQzPk,307213,Fleet Foxes,2008-06-03
