,name,popularity,genres,followers.total,term
0,Fleet Foxes,67,chamber pop,977965,Short Term
1,Fleet Foxes,67,freak folk,977965,Short Term
2,Fleet Foxes,67,indie folk,977965,Short Term
3,Fleet Foxes,67,indie pop,977965,Short Term
4,Fleet Foxes,67,indie rock,977965,Short Term
5,Fleet Foxes,67,modern rock,977965,Short Term
6,Fleet Foxes,67,seattle indie,977965,Short Term
7,Fleet Foxes,67,stomp and holler,977965,Short Term
8,Mtbrd,47,chillhop,12958,Short Term
9,Leon Bridges,78,modern blues,1024594,Short Term
10,Leon Bridges,78,soul,1024594,Short Term
11,Band of Horses,65,indie folk,807466,Short Term
12,Band of Horses,65,indie pop,807466,Short Term
13,Band of Horses,65,indie rock,807466,Short Term
14,Band of Horses,65,modern rock,807466,Short Term
15,Band of Horses,65,stomp and holler,807466,Short Term
16,Louis The Child,76,edm,363521,Short Term
17,Louis The Child,76,electropop,363521,Short Term
18,Louis The Child,76,indie poptimism,363521,Short Term
19,Louis The Child,76,pop,363521,Short Term
20,Louis The Child,76,tropical house,363521,Short Term
21,Masego,74,alternative r&b,609448,Short Term
22,Masego,74,indie soul,609448,Short Term
23,Frank Ocean,87,alternative r&b,5925026,Short Term
24,Frank Ocean,87,hip hop,5925026,Short Term
25,Frank Ocean,87,lgbtq+ hip hop,5925026,Short Term
26,Frank Ocean,87,neo soul,5925026,Short Term
27,Frank Ocean,87,pop,5925026,Short Term
28,J. Cole,89,conscious hip hop,11141303,Short Term
29,J. Cole,89,hip hop,11141303,Short Term
30,J. Cole,89,north carolina hip hop,11141303,Short Term
31,J. Cole,89,pop rap,11141303,Short Term
32,J. Cole,89,rap,11141303,Short Term
33,Moses Gunn Collective,49,indie garage rock,41816,Short Term
34,Moses Gunn Collective,49,neo-psychedelic,41816,Short Term
35,Tep No,63,deep house,69313,Short Term
36,Tep No,63,deep tropical house,69313,Short Term
37,Tep No,63,indie poptimism,69313,Short Term
38,Tep No,63,new french touch,69313,Short Term
39,Tep No,63,tropical house,69313,Short Term
40,Tep No,63,vapor soul,69313,Short Term
41,Medasin,66,edm,77003,Short Term
42,Medasin,66,electronic trap,77003,Short Term
43,Medasin,66,electropop,77003,Short Term
44,Medasin,66,indietronica,77003,Short Term
45,Medasin,66,vapor soul,77003,Short Term
46,Medasin,66,vapor twitch,77003,Short Term
47,BRONSON,60,edm,13887,Short Term
48,BRONSON,60,vapor twitch,13887,Short Term
49,Chicano Batman,58,la indie,139632,Short Term
50,Khruangbin,77,funk,626691,Short Term
51,Khruangbin,77,neo-psychedelic,626691,Short Term
52,Khruangbin,77,soul,626691,Short Term
53,NoMBe,66,electropop,137879,Short Term
54,NoMBe,66,indie poptimism,137879,Short Term
55,NoMBe,66,indietronica,137879,Short Term
56,NoMBe,66,modern alternative rock,137879,Short Term
57,NoMBe,66,modern rock,137879,Short Term
58,NoMBe,66,vapor soul,137879,Short Term
59,pluko,57,bass trap,29121,Short Term
60,pluko,57,edm,29121,Short Term
61,pluko,57,electronic trap,29121,Short Term
62,pluko,57,pop edm,29121,Short Term
63,pluko,57,vapor soul,29121,Short Term
64,pluko,57,vapor twitch,29121,Short Term
65,Daniel Hart,38,,5964,Short Term
66,Oxlade,56,afropop,5089,Short Term
67,Oxlade,56,nigerian pop,5089,Short Term
68,Manila Killa,57,edm,50192,Short Term
69,Manila Killa,57,electropop,50192,Short Term
70,Manila Killa,57,indie electropop,50192,Short Term
71,Manila Killa,57,indie poptimism,50192,Short Term
72,Manila Killa,57,indietronica,50192,Short Term
73,Manila Killa,57,pop edm,50192,Short Term
74,Manila Killa,57,vapor soul,50192,Short Term
75,Manila Killa,57,vapor twitch,50192,Short Term
76,Ben Howard,73,british singer-songwriter,1727002,Short Term
77,Ben Howard,73,fingerstyle,1727002,Short Term
78,Ben Howard,73,folk-pop,1727002,Short Term
79,Ben Howard,73,indie folk,1727002,Short Term
80,Ben Howard,73,neo mellow,1727002,Short Term
81,Ben Howard,73,stomp and holler,1727002,Short Term
82,Disclosure,82,house,1754865,Short Term
83,Disclosure,82,pop,1754865,Short Term
