,artists,name,popularity,duration_ms,album.name,album.release_date,term
0,J. Cole,Snow On Tha Bluff,80,235480,Snow On Tha Bluff,2020-06-16,Short Term
1,Frank Ocean,Nights,78,307151,Blonde,2016-08-20,Short Term
2,Khruangbin,Texas Sun,71,252811,Texas Sun,2019-12-03,Short Term
3,Leon Bridges,Inside Friend (feat. John Mayer),69,175432,Inside Friend (feat. John Mayer),2020-04-10,Short Term
4,Dreamville,Sacrifices (with EARTHGANG & J. Cole feat. Smino & Saba),67,382306,Revenge Of The Dreamers III,2019-07-05,Short Term
5,Leon Bridges,Coming Home,67,206386,Coming Home,2015-06-15,Short Term
6,Fleet Foxes,"If You Need To, Keep Time on Me",64,210506,Crack-Up,2017-06-16,Short Term
7,Masego,Queen Tings,63,188053,Lady Lady,2018-09-07,Short Term
8,Leon Bridges,Forgive You,62,221560,Good Thing,2018-05-04,Short Term
9,Fleet Foxes,Mykonos,62,275306,First Collection 2006-2009,2018-11-09,Short Term
10,Masego,Sunday Vibes,62,226168,The Pink Polo EP,2016-04-05,Short Term
11,Masego,Veg Out (Wasting Thyme),61,196955,Veg Out (Wasting Thyme),2020-04-21,Short Term
12,Leon Bridges,Smooth Sailin',60,183333,Coming Home,2015-06-15,Short Term
13,Leon Bridges,Shy,60,194493,Good Thing,2018-05-04,Short Term
14,Frank Ocean,Pretty Sweet,60,158478,Blonde,2016-08-20,Short Term
15,Leon Bridges,Better Man,59,140133,Coming Home,2015-06-15,Short Term
16,BRONSON,DAWN (feat. Totally Enormous Extinct Dinosaurs) - Edit,58,271871,DAWN,2020-06-30,Short Term
17,Fleet Foxes,Blue Ridge Mountains,58,265773,Fleet Foxes,2008-06-03,Short Term
18,Louis The Child,Little Things (with Quinn XCII & Chelsea Cutler),58,197453,Here For Now,2020-06-26,Short Term
19,Moses Gunn Collective,Shalala,58,228015,Mercy Mountain,2015-08-07,Short Term
20,Fleet Foxes,Ragged Wood,57,307213,Fleet Foxes,2008-06-03,Short Term
21,NoMBe,Paint California,55,207133,Paint California,2019-12-04,Short Term
22,Fleet Foxes,Helplessness Blues,55,303386,Helplessness Blues,2011-05-03,Short Term
23,Leon Bridges,Brown Skin Girl,55,206586,Coming Home,2015-06-15,Short Term
24,Louis The Child,Big Love (with EARTHGANG),55,167480,Here For Now,2020-06-26,Short Term
25,Leon Bridges,Here In My Arms,54,126920,Coming Home (Deluxe),2015-06-23,Short Term
26,Leon Bridges,Daisy Mae,53,176053,Coming Home (Deluxe),2015-06-23,Short Term
27,Chet Porter,Bummed - Manila Killa Remix,52,267180,Bummed (Manila Killa Remix),2020-06-17,Short Term
28,Leon Bridges,Twistin' & Groovin',52,251920,Coming Home (Deluxe),2015-06-23,Short Term
29,Louis The Child,Fade Away,51,196626,Here For Now,2020-06-26,Short Term
30,Fleet Foxes,Montezuma,49,217120,Helplessness Blues,2011-05-03,Short Term
